Model,Name,Functionality,Compatibility
Arm,CyberArmG7,Enhanced strength,Universal
Arm,CyberArmG7,Enhanced strength,Universal
Arm,CyberArmG7,Enhanced strength,Universal
Arm,CyberArmG7,Enhanced strength,Universal
Arm,CyberArmP2,Precision grip,Type A
Arm,CyberArmP2,Precision grip,Type A
Arm,CyberArmP2,Precision grip,Type A
Arm,CyberArmP2,Precision grip,Type A
Arm,CyberArmP2,Precision grip,Type O
Arm,CyberArmX10,Multi-tool integration,Type A
Arm,CyberArmX11,Multi-tool integration,Type B
Arm,CyberArmX12,Multi-tool integration,Type O
Arm,CyberArmX13,Multi-tool integration,Type B
Arm,CyberArmX5,Multi-tool integration,Type B
Arm,CyberArmX6,Multi-tool integration,Type A
Arm,CyberArmX7,Multi-tool integration,Type O
Arm,CyberArmX8,Multi-tool integration,Type B
Arm,CyberArmX9,Multi-tool integration,Type O
Brain,CyberBrainN1,Neural enhancement,Type A
Brain,CyberBrainN1,Neural enhancement,Type A
Brain,CyberBrainN1,Neural enhancement,Type A
Brain,CyberBrainN1,Neural enhancement,Type A
Brain,CyberBrainX10,AI integration,Type B
Brain,CyberBrainX11,AI integration,Type O
Brain,CyberBrainX3,AI integration,Type O
Brain,CyberBrainX4,AI integration,Type A
Brain,CyberBrainX5,AI integration,Type B
Brain,CyberBrainX6,AI integration,Type A
Brain,CyberBrainX7,AI integration,Type O
Brain,CyberBrainX8,AI integration,Type B
Brain,CyberBrainX9,AI integration,Type A
Brain,CyberBrainZ2,Memory boost,Type AB
Brain,CyberBrainZ2,Memory boost,Type AB
Brain,CyberBrainZ2,Memory boost,Type AB
Brain,CyberBrainZ2,Memory boost,Type AB
Ear,CyberEarC3,Enhanced hearing,Type O
Ear,CyberEarC3,Enhanced hearing,Type O
Ear,CyberEarC3,Enhanced hearing,Type O
Ear,CyberEarC3,Enhanced hearing,Type O
Ear,CyberEarX5,Directional hearing,Type AB
Ear,CyberEarX5,Directional hearing,Type AB
Ear,CyberEarX5,Directional hearing,Type AB
Ear,CyberEarX5,Directional hearing,Type AB
Ear,CyberEarY10,Noise cancellation,Type B
Ear,CyberEarY2,Noise cancellation,Type B
Ear,CyberEarY3,Noise cancellation,Type O
Ear,CyberEarY4,Noise cancellation,Type A
Ear,CyberEarY5,Noise cancellation,Type B
Ear,CyberEarY6,Noise cancellation,Type O
Ear,CyberEarY7,Noise cancellation,Type B
Ear,CyberEarY8,Noise cancellation,Type A
Ear,CyberEarY9,Noise cancellation,Type O
Eye,CyberEyeV2,Enhanced vision,Type A
Eye,CyberEyeV2,Enhanced vision,Type A
Eye,CyberEyeV2,Enhanced vision,Type A
Eye,CyberEyeX1,Night vision,Universal
Eye,CyberEyeX1,Night vision,Universal
Eye,CyberEyeX1,Night vision,Universal
Eye,CyberEyeX1,Night vision,Universal
Eye,CyberEyeY10,Infrared vision,Type B
Eye,CyberEyeY11,Infrared vision,Type A
Eye,CyberEyeY3,Infrared vision,Type AB
Eye,CyberEyeY4,Infrared vision,Type O
Eye,CyberEyeY5,Infrared vision,Type B
Eye,CyberEyeY6,Infrared vision,Type B
Eye,CyberEyeY7,Infrared vision,Type A
Eye,CyberEyeY8,Infrared vision,Type O
Eye,CyberEyeY9,Infrared vision,Type B
Heart,CyberHeartX1,Pumps blood,Type O
Heart,CyberHeartX1,Pumps blood,Type O
Heart,CyberHeartX1,Pumps blood,Type O
Heart,CyberHeartX1,Pumps blood,Type O
Heart,CyberHeartY2,Pumps blood,Type A
Heart,CyberHeartY2,Pumps blood,Type A
Heart,CyberHeartY2,Pumps blood,Type A
Heart,CyberHeartY2,Pumps blood,Type A
